Date,Apple,TexasIns
2020-01-01,77.38,120.65
2020-02-01,68.34,114.14
2020-03-01,63.57,99.93
2020-04-01,73.45,116.07
2020-05-01,79.49,118.74
2020-06-01,91.2,126.97
2020-07-01,106.26,127.55
2020-08-01,129.04,142.15
2020-09-01,115.81,142.79
2020-10-01,108.86,144.59
2020-11-01,119.05,161.25
2020-12-01,132.69,164.13
2021-01-01,131.96,165.69
2021-02-01,121.26,172.27
2021-03-01,122.15,188.99
2021-04-01,131.46,180.51
2021-05-01,124.61,189.82
2021-06-01,136.96,192.3
2021-07-01,145.86,190.62
2021-08-01,151.83,190.91
2021-09-01,141.5,192.21
2021-10-01,149.8,187.48
2021-11-01,165.3,192.37
2021-12-01,177.57,188.47
2022-01-01,174.78,179.49
2022-02-01,165.12,169.99
2022-03-01,174.61,183.48
2022-04-01,157.65,170.25
2022-05-01,148.84,176.76